x,beta = 80,beta = 75,beta = 70,beta = 65,beta = 60,beta = 55,beta = 50
49.243,61.458,51.224,38.424,26.59,15.772,8.507,3.974
50.04,61.272,50.977,38.165,26.15,15.352,7.97,3.577
51.633,60.845,50.45,37.688,25.312,14.566,7.029,2.775
51.833,60.788,50.382,37.633,25.21,14.476,6.936,2.671
52.43,60.617,50.173,37.478,24.908,14.214,6.696,2.355
53.227,60.39,49.89,37.286,24.509,13.877,6.427,1.917
55.219,59.884,49.202,36.822,23.511,12.948,5.667,0.743
55.418,59.842,49.139,36.769,23.408,12.838,5.549,0.62
55.817,59.763,49.017,36.657,23.2,12.605,5.256,0.373
56.215,59.691,48.901,36.532,22.988,12.36,4.878,0.125
56.414,59.657,48.844,36.464,22.88,12.233,4.658,1.22528e-08
56.813,59.594,48.734,36.316,22.659,11.971,4.173,-0.249
57.61,59.483,48.52,35.983,22.197,11.425,3.237,-0.743
58.406,59.388,48.313,35.609,21.713,10.867,2.59,-1.225
60.199,59.209,47.861,34.682,20.578,9.711,1.618,-2.247
60.398,59.191,47.811,34.576,20.45,9.591,1.522,-2.355
