x,a2=40,a2=50,a2=60,a2=65,a2=70,a2=75,a2=80
0.5808,0.030984,0.032781,0.034361,0.037353,0.040288,0.047641,0.057788
0.58089,0.030974,0.032773,0.034355,0.037347,0.040283,0.047639,0.057787
0.58382,0.03064,0.032508,0.034147,0.037123,0.040117,0.047585,0.057766
0.58426,0.030586,0.032469,0.034116,0.037089,0.040091,0.047577,0.057763
0.59288,0.029517,0.031712,0.033521,0.036452,0.039595,0.047436,0.05771
0.59936,0.028966,0.031178,0.033067,0.036005,0.039235,0.047345,0.05768
0.60881,0.028423,0.030469,0.032335,0.035445,0.038776,0.047234,0.057655
0.61409,0.028169,0.030113,0.031847,0.035186,0.038573,0.047182,0.057654
0.62189,0.027822,0.029641,0.031063,0.034838,0.038363,0.047116,0.057672
0.62387,0.027736,0.02953,0.03087,0.034751,0.038329,0.047101,0.057682
0.62513,0.027682,0.029462,0.030751,0.034694,0.038311,0.047092,0.057689
0.63515,0.027251,0.028958,0.029948,0.034235,0.038267,0.047036,0.05779
0.63661,0.027187,0.028889,0.029854,0.034167,0.038271,0.04703,0.057813
0.64119,0.02698,0.028679,0.029588,0.033953,0.038297,0.047014,0.057908
0.66115,0.026028,0.027834,0.028732,0.03302,0.038462,0.046994,0.058966
0.66359,0.025914,0.027734,0.028648,0.032906,0.038462,0.046997,0.059145
0.6692,0.025662,0.027504,0.028467,0.032648,0.038406,0.047006,0.059528
0.67177,0.025554,0.027398,0.028389,0.032532,0.038354,0.047013,0.059685
0.67329,0.025491,0.027334,0.028345,0.032463,0.038316,0.047018,0.059773
0.67353,0.025482,0.027324,0.028338,0.032452,0.038309,0.047019,0.059786
0.67956,0.02525,0.027069,0.02817,0.032186,0.03811,0.047045,0.060095
0.68855,0.024932,0.026674,0.027933,0.031807,0.037814,0.047107,0.060475
0.69716,0.024641,0.026276,0.027698,0.031463,0.037709,0.047193,0.060788
0.70706,0.024292,0.025785,0.027376,0.031075,0.037726,0.04733,0.061113
0.70875,0.024228,0.025697,0.027312,0.031008,0.037735,0.047357,0.061165
0.7099,0.024183,0.025636,0.027268,0.030962,0.037742,0.047377,0.061201
0.71797,0.023847,0.025195,0.02693,0.030644,0.037796,0.047529,0.061443
0.72278,0.023622,0.024934,0.026712,0.030459,0.037827,0.047633,0.061582
0.72737,0.023392,0.024698,0.026498,0.030289,0.037857,0.047743,0.061712
0.73923,0.022791,0.024196,0.025938,0.029896,0.037935,0.048067,0.062039
0.73934,0.022786,0.024192,0.025933,0.029893,0.037935,0.04807,0.062041
0.75323,0.022178,0.023781,0.02538,0.029572,0.038036,0.048511,0.062419
0.75426,0.022139,0.023754,0.025348,0.029558,0.038044,0.048545,0.062447
0.75538,0.022097,0.023725,0.025315,0.029544,0.038053,0.048584,0.062478
0.75916,0.021963,0.02363,0.025214,0.029511,0.038086,0.048715,0.062584
0.76282,0.021842,0.02354,0.025129,0.029499,0.03812,0.048844,0.062688
0.78182,0.021279,0.023063,0.02479,0.029649,0.038373,0.049555,0.063291
0.79103,0.021013,0.02281,0.024653,0.029693,0.03853,0.049918,0.063628
